iter	Passed	Remaining
145	930	5441
146	933	5418
147	941	5417
148	943	5390
149	947	5370
150	952	5355
151	955	5331
152	958	5305
153	961	5279
154	963	5252
155	966	5229
156	969	5207
157	972	5181
158	974	5155
159	977	5129
160	978	5099
161	983	5086
162	986	5065
163	988	5040
164	991	5017
165	995	4998
166	999	4983
167	1001	4960
168	1004	4936
169	1006	4913
170	1008	4890
171	1014	4882
172	1016	4859
173	1018	4837
174	1021	4814
175	1023	4792
176	1028	4782
177	1030	4760
178	1033	4738
179	1035	4716
180	1037	4696
181	1043	4689
182	1045	4668
183	1048	4648
184	1050	4627
185	1052	4607
186	1058	4603
187	1061	4586
188	1064	4567
189	1067	4550
190	1074	4549
191	1077	4532
192	1080	4516
193	1085	4508
194	1089	4498
195	1092	4481
196	1095	4464
197	1098	4449
198	1104	4445
199	1107	4430
200	1111	4416
201	1114	4402
202	1119	4397
203	1123	4383
204	1126	4368
205	1129	4353
206	1134	4345
207	1137	4330
208	1143	4328
209	1149	4325
210	1153	4313
211	1157	4300
212	1160	4287
213	1166	4284
214	1169	4270
215	1172	4256
216	1175	4241
217	1182	4241
218	1185	4228
219	1188	4215
220	1195	4213
221	1198	4200
222	1201	4186
223	1204	4173
224	1207	4160
225	1212	4151
226	1215	4137
227	1218	4124
228	1220	4109
229	1223	4095
230	1227	4087
231	1230	4072
232	1232	4058
233	1235	4043
234	1239	4036
235	1243	4024
236	1245	4009
237	1247	3994
238	1250	3980
239	1256	3978
240	1259	3965
241	1262	3954
242	1265	3940
243	1270	3935
244	1276	3934
245	1288	3947
246	1292	3940
247	1303	3951
248	1311	3955
249	1318	3955
250	1322	3946
251	1328	3941
252	1335	3941
253	1339	3933
254	1343	3924
255	1350	3924
256	1353	3914
257	1358	3906
258	1362	3899
259	1368	3894
260	1372	3885
261	1375	3875
262	1387	3887
263	1391	3878
264	1399	3881
265	1402	3870
266	1406	3862
267	1414	3863
268	1419	3857
269	1425	3854
270	1429	3844
271	1432	3834
272	1436	3824
273	1442	3823
274	1447	3816
275	1451	3807
276	1482	3868
277	1492	3876
278	1496	3867
279	1501	3860
280	1504	3850
281	1508	3840
282	1512	3832
283	1519	3830
284	1522	3820
285	1527	3812
286	1536	3817
287	1541	3811
288	1549	3811
289	1552	3800
290	1556	3791
291	1565	3795
292	1568	3785
293	1581	3797
294	1585	3788
295	1589	3779
296	1593	3771
297	1597	3762
298	1601	3755
299	1606	3747
300	1611	3741
301	1614	3732
302	1618	3724
303	1622	3713
304	1625	3704
305	1628	3694
306	1632	3685
307	1639	3684
308	1642	3673
309	1645	3663
310	1648	3653
311	1655	3651
312	1659	3642
313	1662	3632
314	1668	3628
315	1672	3619
316	1675	3610
317	1679	3601
318	1685	3598
319	1689	3590
320	1694	3584
321	1702	3584
322	1709	3582
323	1715	3580
324	1727	3587
325	1734	3586
326	1738	3577
327	1747	3580
328	1756	3582
329	1813	3681
330	1819	3676
331	1825	3672
332	1830	3666
333	1835	3660
334	1842	3657
335	1853	3663
336	1861	3661
337	1865	3653
338	1870	3647
339	1878	3646
340	1882	3638
341	1885	3628
342	1895	3630
343	1899	3621
344	1906	3619
345	1910	3610
346	1913	3601
347	1916	3590
348	1922	3586
349	1926	3578
350	1930	3568
351	1935	3562
352	1941	3557
353	1945	3549
354	1951	3546
355	1957	3541
356	1961	3532
357	1968	3529
358	1972	3522
359	1983	3526
360	1988	3520
361	1991	3510
362	1995	3502
363	2002	3498
364	2006	3490
365	2014	3489
366	2021	3486
367	2030	3487
368	2035	3480
369	2039	3473
370	2044	3466
371	2048	3458
372	2051	3448
373	2057	3443
374	2061	3436
375	2065	3428
376	2072	3424
377	2076	3417
378	2080	3408
379	2085	3402
380	2090	3395
381	2093	3387
382	2096	3377
383	2103	3374
384	2107	3367
385	2110	3357
386	2116	3353
387	2121	3346
388	2125	3338
389	2131	3333
390	2135	3326
391	2139	3317
392	2143	3310
393	2149	3305
394	2153	3297
395	2156	3289
396	2160	3281
397	2166	3277
398	2170	3269
399	2176	3265
400	2183	3262
401	2188	3255
402	2197	3255
403	2202	3249
404	2211	3248
405	2214	3240
406	2220	3234
407	2229	3234
408	2232	3226
409	2237	3219
410	2246	3219
411	2249	3210
412	2252	3201
413	2259	3198
414	2263	3190
415	2268	3184
416	2273	3178
417	2280	3175
418	2287	3171
